123051033 56429
H 110774276 184175394
H 33329396 513210447
H 491702402 764628816
Q 122138636 906393596
H 615984876 1114142060
Q 456221200 978511535
H 231748048 410964508
H 22148300 95525615
H 4091430 867532116
H 169073664 460701336
H 37601200 126572878
Q 423873054 455782932
H 236175 266278758
H 694440956 739266116
Q 325488240 342377264
Q 111713868 645023473
Q 723541308 1184991396
H 126076935 1018021563
Q 115064952 623626332
Q 33038544 87313770
Q 216227255 348942959
H 21440019 572272591
H 630194850 673989026
Q 102816350 363179618
Q 714315393 828820203
H 204297108 463121637
H 34318896 237038237
Q 130711754 705186694
H 28746450 106695666
Q 7501239 65653311
Q 354319485 688942269
H 95615577 632199515
H 181379968 1049688111
H 86779186 1008652651
H 406361265 612554899
H 7987785 103631010
H 210195720 601688216
H 422349621 521106929
Q 82250778 161235178
Q 65830770 281451950
H 337808364 633110882
H 591207540 720072825
H 199515840 1095436008
Q 50136345 165159126
H 81048772 372232148
H 348002048 1079304705
Q 101360272 132822494
Q 231140646 371559694
H 44782398 48998923
H 184232737 265034117
H 167275372 224515624
H 518255699 1073798557
Q 105146600 384996968
Q 630420800 659614971
H 112913235 347130035
H 30372270 458594890
Q 449342362 809781130
Q 585668160 1280790912
Q 402410610 444431148
H 468240218 648528586
Q 409424345 705860351
H 171525900 818857056
Q 6917136 75056376
H 95648770 146222182
Q 125301390 765056440
Q 67418750 297485350
H 228506145 258747279
H 304957016 495001351
Q 896005692 914643438
H 172251475 217503715
H 99447136 217428300
Q 104387686 765477544
H 664182750 725446575
Q 260235129 821836845
H 23085840 555295232
Q 173590380 767549365
H 259812826 484136545
H 140127260 147274952
H 289187840 477038387
H 11009867 830442315
Q 248864308 972855920
H 109299618 255331218
H 329517564 620014796
H 957813714 1615218294
H 193457408 560929424
H 346562804 351771139
H 769616148 1135319304
H 139904622 905839987
Q 11903220 358220790
H 857888 390301307
H 11856718 554517778
H 104058264 832426389
H 235026800 289601024
Q 19228966 385953222
Q 82074330 91326402
H 967240235 1195549243
H 768024865 956313533
H 920299380 921651000
H 234597240 246392865
Q 58664960 77093378
Q 426677623 450254383
H 70359040 577520992
Q 450766729 1284320668
H 35175595 57469027
H 458253120 522640300
Q 214065675 895867828
H 936289000 1536316648
Q 190987453 286507918
H 104363143 325715058
H 761496865 1034459345
H 226975470 314255989
H 26925272 863286861
H 314821402 367991034
H 607344366 693805574
H 99450400 136446700
H 205355040 500025884
H 67928964 421985314
Q 538631384 671274392
H 247909272 405538452
H 55843792 403405072
Q 206950056 1026418600
Q 110517342 342898643
H 442849932 622546214
H 79088352 117821816
Q 417305788 539626483
H 394690903 524701333
H 136476272 805203048
Q 503467551 771771811
H 73292882 605596780
H 20960748 273262032
H 521305512 1132033228
Q 5503716 226819152
H 951035520 1363112075
H 33150800 919075048
H 53153660 148465728
H 92079498 929759462
Q 541413613 1114671144
H 1795352 138632225
H 745030262 1150461242
H 90465963 270824109
H 12383165 905796791
H 214308324 465894594
H 225517292 794106677
H 167312496 877615304
H 48034701 870652326
H 578495516 578507957
H 51539971 80803786
Q 4903642 34001287
Q 243684000 311808643
Q 146678650 212817793
Q 746459604 777124242
H 464943148 869388246
H 20316224 308824346
H 308419880 550650296
H 218376902 353536611
H 36822849 65587189
H 49291326 54270846
H 353382700 585854382
H 547824 78161804
H 44926024 281136454
Q 218749690 577603234
Q 143695830 146772162
Q 147246455 258029235
H 156699231 544157925
Q 39543104 82715688
H 190855242 300920694
Q 48766464 54133485
H 18783425 65580419
H 377484310 504212079
Q 20286990 115104921
H 461034905 469271333
H 106402284 176138907
H 110591058 128640798
H 41870964 59611582
H 49457379 515759607
H 63624825 177309925
H 506657793 590881473
Q 305750780 491740520
Q 220561200 656651400
H 806043690 944288680
H 115005955 471444643
Q 96883306 247081716
H 72032328 709835208
H 435159807 439676553
Q 418875520 522656032
H 352123200 499401602
H 236727480 540045390
H 241727488 309109708
Q 907344984 997674216
H 573456765 808397914
H 802577850 943334466
Q 223083168 318539424
Q 771578792 1512919210
Q 655973253 1388021389
Q 259346087 762858899
H 1203152 139941710
H 317394688 423959188
Q 228768330 331533300
H 38083752 52017132
H 374495890 509031471
Q 498667422 503194410
H 789351360 1743984576
H 43217768 316095493
H 132482966 164350934
H 232697061 463529878
H 126934206 541757670
Q 10923712 251854990
Q 164006616 191677583
Q 9539424 29102561
H 451222920 702203477
Q 552444816 1208067096
H 98661237 846245713
Q 517240350 1013086660
H 178396508 376942784
H 238663002 796684874
H 451530805 600410965
Q 265528893 460167597
H 227695824 326107216
H 31547692 325515208
H 65130936 205809873
Q 452619900 548250120
H 79010995 168217651
Q 98423500 190004716
Q 729050952 1043350502
Q 105892920 704783508
H 594524040 942562424
H 180301184 212054048
Q 157981705 374614805
H 117999060 570426490
H 4189818 170667434
Q 435839952 436098762
H 110358534 633048582
H 544491005 1543094069
H 66172909 84448999
H 371399208 375410292
H 235515087 487886159
H 28648950 122734879
Q 4516722 36431755
Q 653896264 1000986709
H 77498512 211120819
Q 88408936 104722156
H 156611896 393049573
H 184723389 427380265
H 9145062 237598042
Q 373449358 1316294458
H 377843418 1344431158
H 716688324 1171353254
Q 109354128 210482762
H 208016830 212982326
H 32263638 279271218
H 28953232 47101318
H 490062264 968526404
Q 75489112 488025664
Q 384811452 389892186
Q 594369806 825505403
H 476002872 925761942
H 622160928 1107746028
H 387578552 918026384
H 11092224 323272180
H 139943455 1024338259
Q 111813384 246303168
H 421181970 818658427
H 168495819 257335659
H 575075927 625338447
Q 38891560 39779477
H 448031980 488416399
H 457603290 572179422
Q 773912272 869532155
H 711387576 725280696
H 199919450 217839299
H 800068443 1447237837
H 615682500 721866930
Q 611731440 1530792880
Q 344979208 759587703
Q 66935460 154514628
H 19051985 214912177
Q 422815795 688843315
H 639808142 1262808758
H 113693195 388904924
H 123947208 363832952
Q 29733200 146099384
H 102866985 134120790
Q 675686538 1103016762
H 640090812 925447290
H 59596968 261562028
H 637727893 1210963907
H 324677800 544834304
H 358650551 658988426
Q 123113170 791601272
H 121120350 704523984
H 383028428 455669168
H 80071524 90193134
H 1355121 419965353
Q 23752014 36203370
Q 554741504 694793108
H 71177841 809915904
Q 143218075 570805327
H 42741839 71818979
H 749663031 1013658306
Q 28612110 108519330
H 579085848 1346272568
Q 518710811 536336285
H 665947834 762158620
H 235622765 281461441
H 609114112 1229600062
H 360980400 1017941200
H 28665120 523290475
Q 22439980 136637272
H 354266786 695260086
H 299449724 1007095292
Q 153753075 336716838
Q 333612972 452001006
H 342239870 436172654
Q 207617175 1154194135
Q 178025115 274927009
Q 153057086 646264115
H 92406880 342758912
H 50879556 164706252
H 333573212 827969186
H 164968583 255090351
Q 221670729 335062293
H 109112850 217021950
H 156138903 212786495
Q 113039248 166942342
Q 25729648 92068459
H 36589044 827362228
Q 430486614 698765573
Q 69930481 370817307
H 391311648 441570813
Q 374472450 621913147
H 5062250 334901162
Q 333148950 430597306
H 15972696 245374486
H 342621362 587325246
H 19737204 198957060
H 122794864 220203565
H 42012450 183566688
H 142513137 227703333
Q 8058338 659149205
H 151839375 248224785
H 185790744 319155744
H 31643430 225636414
Q 118129620 139756740
Q 43771240 216646070
Q 55956252 334577788
Q 124906480 375776840
H 762469850 1451322310
Q 416211036 460429581
H 23673771 148929771
H 26890020 246535194
H 5361868 218733901
H 58180908 936728376
H 16109612 258476819
H 100766718 495246600
H 250631798 280371209
H 133646252 684420588
H 363415392 1060657586
H 324254340 399462211
Q 37263132 132705844
Q 98403966 372974486
H 103439172 105226960
Q 331047698 336309178
H 13378764 200437584
Q 236622324 382704099
Q 579623184 1202084944
H 7516191 73901481
H 88110645 289859925
H 409090500 1163618564
H 157065070 1067716278
H 14575392 115137378
H 34363300 308659484
H 160481790 237626176
H 42434595 278987226
H 113260550 146782616
Q 28118646 477434867
H 74943652 915667820
Q 415036596 826325166
H 96719536 342896747
Q 438583245 459715083
Q 190156254 287235340
Q 19345872 74227457
Q 162679488 737709335
H 802693870 803758869
Q 44417583 221384922
H 23592950 105321134
H 174805744 248112494
H 329802906 562355032
H 46807122 629270202
H 681686820 930531933
H 376687675 413855799
Q 210064104 509170976
H 33467392 136910501
H 108159604 410695332
Q 154442396 405996216
Q 119722380 171315376
H 405559055 615535094
H 57217152 646150272
H 143224476 630650493
Q 46149325 934851737
Q 351451515 357550306
Q 81771873 223119477
H 259299748 979260891
H 584005616 750217646
Q 417884596 681968636
H 398688216 681041792
H 81008083 223883053
Q 480599712 1075412520
Q 233029350 332668816
Q 31843951 361387836
H 137884524 499270584
H 91801622 585636730
Q 95036984 285467896
H 551258118 607091714
Q 168758832 214895682
H 458905356 1075814252
H 453175748 538356308
H 328084416 344393784
H 921072414 1054289689
H 185600050 386533408
H 43679346 228554346
Q 191708937 201505647
Q 459131160 735177854
H 125599348 230591443
Q 214573125 453021237
Q 19989178 893998090
H 570350918 791238563
H 307227620 423314129
H 255300023 904332467
H 714188720 1064157860
H 38940510 344783226
Q 968791152 1286767632
H 896393306 970193690
Q 66080708 195743027
H 108400968 212748848
H 89265436 337876036
H 71955996 476053364
Q 232040486 552163696
H 348793896 473663684
Q 194408552 323615477
H 657838901 1007276761
Q 114092466 748060906
H 25233741 323421897
H 7594095 646777794
H 379111902 753935102
Q 87456560 195264848
Q 722370417 725419167
H 572336186 725881850
H 633490333 1215231367
H 6818252 259308290
Q 248242800 473097584
H 36436498 317900533
Q 2073600 315752668
H 38825150 604038770
H 51141962 520991992
Q 55795536 247697056
Q 24198944 454897089
Q 131555325 172705549
H 170736136 704633178
H 10168613 20707493
Q 569074394 1217532149
H 471872802 1043496052
H 5059810 95808610
H 335767040 338612165
H 349596653 515934133
H 117295044 317465168
H 146022031 489097411
H 220602675 666579171
H 325731402 337497010
Q 95651906 342426486
H 320470443 429584997
H 595024935 1183627551
Q 192270273 324262397
Q 410254817 986561941
H 217041080 312658589
Q 465036394 926296578
H 713633425 1367330685
H 354809224 796866552
Q 154773739 350179114
H 8282315 71402747
H 65828202 436992518
H 17934662 674997162
Q 466551360 545995602
H 193809952 713271452
H 85944397 684122557
H 311792960 461166020
Q 430990076 610316738
Q 174785880 175147416
Q 136931370 434041962
Q 143781750 320156206
Q 486476284 521042364
H 318302250 361573710
Q 904466044 1021354174
H 19496916 680862468
H 478283872 608078434
H 238106200 247068194
H 98743332 316765194
Q 2891064 685186821
H 551636811 714464956
H 273625128 641563398
H 302901104 859004364
Q 1000677 31892906
H 42072580 423360157
Q 495505890 1127316024
H 269820138 337049562
Q 14328759 132280689
Q 313400506 366896056
H 275082000 281916960
H 185408564 500921608
H 74564350 79584526
H 28494528 417910149
H 10881198 416115306
H 237226840 505979551
H 58232384 64394512
H 519690600 843180084
H 10753870 426673566
H 714806340 800410260
Q 478613951 637839611
H 44453318 176255918
H 135752826 613749312
H 663673468 675302091
H 616565646 887813454
Q 478833982 525944394
Q 135360054 925079420
H 24963387 36119454
H 340316000 798536176
H 129289820 132448745
H 312094368 517553568
H 846482652 1279528642
Q 383123404 520652056
Q 699210764 1160276974
Q 152354625 1026968265
H 503541210 874354978
Q 283617295 376872259
Q 170952100 407180201
H 71071413 268814464
Q 497992640 1083785288
H 413568489 574017663
Q 555041800 707391400
Q 306033372 558367708
H 142635797 803192597
Q 10800540 620245596
Q 956836576 1024067551
H 176311184 619335077
Q 447658812 484805948
H 102215057 450130737
H 278500008 437128471
Q 1751360 24759055
Q 576893460 927530180
H 256678150 439436462
H 135856854 286664472
Q 385305527 418144441
H 470693797 565881449
Q 49969076 187234867
H 71581646 305462936
Q 570090750 800746675
H 475070816 490293536
Q 585860904 627938800
H 43495749 111182524
H 511131712 570891262
H 509612070 511849282
H 313592675 537641630
H 188825904 587478522
H 456426718 616833468
Q 349993332 1099487224
H 49414155 231630882
H 252117072 322111722
H 3682044 127864754
Q 313590042 532645434
H 157550680 384485500
H 214503720 827808897
H 82261913 272349538
Q 217727592 654322296
H 7528556 144544218
H 951789920 1092236072
Q 811964400 812776836
Q 121623392 126064420
H 3498495 276118084
Q 669585987 992933595
Q 419345580 914811716
H 588857170 604028746
Q 89355382 565708502
H 488254800 1120559379
H 220469640 277820232
H 335919672 344781326
H 91520226 123286851
Q 974692198 1900685059
Q 377286476 405773016
H 272890990 288252343
H 354784430 389924920
Q 423017910 659516521
H 485467944 1418523340
Q 68825325 198938055
H 566048158 596007981
H 55983360 485717106
H 14306175 199198245
H 214288569 697402761
H 58825150 208757149
Q 163451344 169548176
Q 4773080 49268509
H 713245518 924534978
H 32325840 487492665
H 2658369 289343127
H 4930802 43636007
Q 736385068 783985008
H 363517583 681934853
H 473678100 754667510
H 451747716 1056480216
H 711239438 822022994
H 22583024 969126902
H 434707830 1129132728
Q 7013160 679680224
Q 644354400 839418370
Q 355434900 1201380038
H 77825691 489636766
H 525334806 564308798
Q 374306760 395462555
H 523106331 1369199325
H 476678346 625464978
H 744598305 1217301413
H 135264230 232105682
H 160195882 225495505
H 15083340 31621884
H 66333864 216350152
Q 314226816 499117196
H 138240063 324063099
Q 363224136 454036352
H 153001547 506520207
H 15089506 68155387
Q 143820554 418590126
Q 3221132 67729784
Q 40640184 110162209
H 18903375 234578835
H 54647655 781755517
Q 104047910 195384762
Q 631953504 697955222
H 18160200 86699913
H 16216328 442511912
H 2631398 469973238
H 626229786 868698474
H 195645207 240655692
H 237164317 734169917
Q 128018318 152825828
H 359556552 849774222
H 188890772 609475396
Q 14910930 16688082
Q 635485557 822892469
Q 419409760 843041568
Q 34581425 124726225
H 211216720 473145495
H 71846340 85045582
H 476800844 588017126
H 86158755 127698255
H 737458848 1568304575
H 117015540 126852009
H 118771159 937188361
H 722495445 775490815
H 502786602 663237672
H 202257600 223676416
H 128448294 338467974
H 975683727 1517217747
H 170068992 331327542
H 520138265 527701065
H 579608566 652026198
Q 686552308 698057908
H 691392408 1240050107
Q 398773584 827921108
H 417406535 595538039
Q 23405515 138584956
Q 61277180 246068380
H 116850670 250113310
Q 548163370 690756406
H 60324579 337480804
Q 528997964 560826764
H 133227040 297536222
Q 558385334 581220710
H 241715996 961870398
Q 713383445 756495301
H 14056944 163355958
H 207510432 537032142
H 302009468 414454334
Q 470089411 1148852454
H 397303476 619873186
H 206861816 213209747
Q 335128545 373155875
H 469611710 988264580
H 525759412 647308182
H 160064764 166976806
H 628064966 656296260
Q 435952791 1071490401
H 254829501 446564391
Q 24067120 740703460
H 163236797 322098797
H 77512176 570468976
Q 39304952 428206787
Q 544982064 548561686
H 71169280 461983085
H 513705945 779119041
Q 51140268 402640443
H 612957378 631876034
H 448792432 1017502895
H 179579576 198259852
H 112644432 137413872
H 179539550 260116590
H 22870188 321794879
H 30524450 55791704
H 376311636 1157736428
Q 176355053 655032452
H 247737056 579976766
Q 314461266 828293202
Q 363482548 535398628
Q 831225720 1558816185
H 18568788 122190102
H 21694346 456955172
Q 852099640 1367120472
H 60434220 348350198
H 99252732 108372126
Q 214879050 661039050
Q 205235988 735517586
H 284520915 340566107
H 613093404 826267001
Q 561475350 1289206350
H 23636888 507206552
H 20848650 327548835
H 4190774 121373343
H 503037820 875380725
H 265161482 1053861290
H 303320616 656979880
Q 206688549 530304981
Q 386497818 732308476
H 346976712 910963642
H 88128065 328988993
H 55276282 232246972
H 53295528 68768258
Q 301856808 573267753
H 193646910 304164095
Q 396022922 596608447
Q 54589273 502118603
H 272442576 609025776
Q 41281936 42877835
Q 544028248 775055672
Q 422754955 498514443
Q 72781757 77551277
Q 366833838 389178876
H 1611390 220949200
H 40524815 97049779
Q 548350955 866646240
H 198057632 222189982
H 132869360 640612544
Q 176488983 1164485144
H 58715949 209525637
H 181235736 1052763655
H 563878335 757201777
H 31289304 35050110
H 47114937 458277977
H 83153675 625977001
Q 555284016 735405908
H 28445926 449425041
H 447202476 486717446
H 55948632 251990332
Q 305896176 554484217
H 41723692 196378842
H 51009002 143622659
H 268978631 652110317
H 475771626 882655836
Q 108442371 174188087
H 15134352 295001680
H 240401964 391221697
H 12603920 1016022344
H 721320560 732248587
Q 117489159 320488461
Q 205732597 711246207
H 5840310 145675320
H 982799670 1058663097
Q 70695976 138647026
H 548763696 633236552
H 168567525 494629989
H 391471840 729948349
Q 1031007579 1360477749
Q 486193032 510201027
H 74466603 693754382
H 460022949 594631089
H 324969750 702288714
H 216581376 220207944
Q 5748086 285177750
H 20441764 559237964
H 181370640 994180320
H 176439120 630735792
H 253666386 853616100
H 114010715 164907308
Q 597287 746891192
H 294170040 390720180
H 466692870 697918086
H 7509220 416536729
H 33407836 588610820
H 501029373 1302748791
H 491534540 857388311
Q 709501190 879136790
H 65284910 494396535
Q 280303439 328223921
H 106412176 273103551
Q 174274890 586703180
H 560908595 1314064259
H 56680002 728799480
Q 84457940 146191724
H 133076528 241095616
H 570169050 600568640
H 141813854 203567606
Q 8138296 548014296
H 578785920 729647445
H 118950300 698189261
H 249075348 312053466
H 678472124 1176656716
H 490658688 704621451
H 358993054 367676635
Q 142546228 664780476
Q 139705064 256696139
Q 477433049 687743897
H 22341668 680912942
Q 117964756 329672038
Q 641276844 1130572038
H 978361964 1106505239
Q 23201109 44202533
Q 132496182 739332636
H 239961952 271871731
Q 685732718 1528286538
Q 1035351323 1472612189
H 12042000 100482000
H 4807110 572996685
H 331511466 864871216
Q 38694280 789335788
H 256948524 1094845194
Q 147666363 334327927
H 280854720 921583961
Q 462174088 579172669
Q 212892996 267264636
H 460265650 480552010
H 4508948 556881692
Q 51057630 231362968
H 4989607 281251989
H 148803074 938598656
Q 72219000 322883730
H 24408900 355982292
H 172363195 321965551
H 381678156 385809931
H 265899680 907612999
H 141533280 298039836
Q 194592888 1003860616
H 826677800 1003870368
Q 33336480 440205255
H 83649280 134117950
H 337083615 969978680
H 216945400 847265272
H 171824954 373788824
H 148734033 346378987
H 103012260 290690810
Q 37060673 449158578
H 696337632 1275207630
Q 144830491 234366091
H 44508420 661440684
Q 426544055 1080126671
Q 640624758 666474423
Q 19040864 581550534
H 77596 214635667
Q 337542985 1125561585
Q 383561424 740515344
Q 162938820 870266692
H 84552525 99170402
H 83043090 365358651
Q 112088640 438601728
H 52665960 54215535
H 122316645 462932349
H 28392992 652902537
H 35126500 110828200
H 289513332 291194050
H 135602586 435337461
H 47826726 86294526
H 6401988 248200470
H 58498320 237508990
H 171605000 249061940
H 219159265 602778865
H 389894000 712753552
H 207021752 265755602
Q 11069808 26470095
H 121900221 182186803
H 655233956 1308991416
H 416629934 902011922
Q 615015456 650030709
H 265806684 709675389
Q 43671918 615205713
Q 208991200 533488972
Q 89781594 700899031
H 452903604 618138259
Q 166409856 1083380200
Q 66189060 69015103
H 102641420 552434135
H 760977335 1010462335
Q 225948028 255355465
Q 2931775 208500421
H 10609547 92737082
H 881435618 1227291618
H 317547045 820551459
Q 4037614 129751696
H 371683728 604465816
H 543136230 828770046
H 108576648 132650628
Q 41736609 69624004
H 306768060 339084804
H 515946423 524319663
H 457977520 827628725
H 12218652 361424124
Q 574662750 760819683
H 107915294 441103952
H 59428102 243647214
H 404035574 540389446
Q 107744546 575139573
Q 95464400 359837516
H 424620696 547280373
Q 94261592 342578661
Q 42042176 208530161
H 198316426 286890384
H 708275056 1514449906
H 6732644 698158804
H 203082320 488937442
H 176540982 181436153
H 100759328 420112679
Q 693608916 858452374
H 275906505 659116635
Q 206249694 210828994
H 29334936 178718263
H 596528949 771410838
H 473203249 526365643
Q 400924125 483109498
H 5176680 203161934
H 28339408 52560324
H 770309661 1252728705
Q 364967106 681283041
Q 295267756 593503434
Q 405092468 821437663
H 196652638 263509912
Q 158102832 194314920
H 888972084 916975056
H 612591380 1446781814
H 118669512 208243872
Q 95429655 172073637
Q 261387750 581379267
H 6627096 69163938
H 547316432 606252842
Q 548249529 878789943
H 5412613 105132101
H 41616051 675217095
H 209467674 835910428
H 904512862 1460868794
H 43480642 48139687
H 379840629 542744634
H 110647005 424311676
H 310443753 327753723
H 78022735 1014345327
H 30164022 285638670
H 945206262 1058021118
H 8396325 173723805
H 37719192 956855372
H 463270456 466017676
H 193455224 312497658
H 295232140 844084576
Q 48427995 101992955
H 245732173 648813878
H 485809956 528622550
H 24334520 830266052
Q 225602784 494074764
H 505299168 960507882
Q 175827695 350616143
Q 191406276 239013556
Q 594474755 994808728
Q 496550012 944420806
Q 547678850 566954510
Q 155113495 465771990
Q 294957865 955684579
H 101785824 186344144
Q 220215450 336357588
Q 752513345 780501756
H 75893380 699791668
H 11675600 439059170
H 25745664 319900434
Q 186712785 384525315
H 468826204 1308804083
H 242311520 284081066
Q 509585253 725590193
Q 317151990 901594977
H 5085720 153878931
H 295966786 330283754
H 850741584 1599435187
H 8080549 142626950
H 9775044 46239864
H 332589540 594128290
H 298383680 672148621
H 147338440 443267848
Q 145408400 657789698
H 106148000 793511312
H 294557054 395816768
Q 810314190 939106968
Q 383975040 419424067
H 522758089 949283959
H 386569594 410601734
H 32848900 318274240
H 511840525 539553595
Q 48909396 85573716
H 568363644 754446268
H 188025570 469204482
H 27684630 626459220
Q 48274196 702841292
H 166617100 272107237
Q 401269347 577262879
H 338754192 659676612
H 556179294 896143017
H 621389703 645331845
H 151644825 322638102
H 20595608 37114408
Q 93564790 382885158
H 310076078 955070246
H 87305760 130595664
Q 229153860 608020164
H 223054800 304839573
H 305107472 521432272
H 178189000 462957160
H 23239695 497650799
Q 174977445 183769437
H 283343534 515878298
Q 25521944 58198619
H 362186856 737281354
H 14685833 456490973
H 749323900 1135705392
H 206997016 589116188
H 970280997 1674746099
H 35211613 70047367
H 251143254 464724882
H 522021187 548010787
H 54486158 477965974
H 272823964 399597227
H 121583924 227092383
Q 294256768 780292786
Q 621763590 880468179
Q 96365880 100331010
H 82667950 444533164
Q 176019408 188680128
Q 465926670 1010816002
Q 822768732 1117062852
H 472287232 1261088346
H 543127178 743740241
H 62299482 94809390
Q 75103359 977556191
Q 131628800 420274973
H 36015046 346551511
H 253156808 393899536
Q 626167448 1268428088
H 205846893 306005601
H 192508146 572381226
H 788097706 980761726
H 4173744 725976090
H 162237600 790058032
H 275814336 382655136
Q 191382415 774366223
H 119035260 748097820
Q 840974625 864758413
Q 862178464 1027714156
H 787311432 903458288
H 521102634 1037967574
H 40511444 311300516
H 164664929 407857979
H 941668728 1067982071
Q 451332324 723013172
Q 729728043 879784083
H 149491490 727779496
H 650361544 842511446
H 435191211 567464211
Q 512726110 1100450122
H 75864590 510866340
Q 557738664 1135656686
H 4408044 60851409
H 5969948 716766128
H 261181536 463488632
H 2730231 211849911
Q 79189368 291654394
H 78899584 328510849
H 190438308 246309088
H 386408332 501926732
H 329150640 588556860
Q 36793680 406178420
H 354461408 396162111
H 544568166 1432496227
H 49740600 411988465
H 36854497 737005609
H 595145634 1251479202
H 91140280 626282160
H 664417800 1205539304
Q 308782390 354664702
Q 63597533 169808303
Q 69424584 77500386
Q 810026700 1806648524
Q 163135620 268997206
Q 518335848 873109008
H 768921984 846402972
Q 202868080 221172289
Q 241172025 639026097
Q 474442424 748118329
H 16580559 358135353
H 952077931 1021810249
H 172076220 276412956
Q 106638948 272685738
Q 25319092 244913602
Q 476529568 1047145624
Q 53070655 478174775
H 706374421 940398271
H 275452668 308169376
Q 18954054 243951966
H 220516860 1055505396
Q 364217007 392527887
Q 432181582 454056442
H 279320416 568764319
H 257632200 408768290
H 225702386 563911418
H 377681904 623998450
Q 408518110 674903896
H 73358313 414036761
H 12953728 312834816
H 105499592 563951372
H 69884122 118533173
H 240290280 661399476
H 105697240 278392840
H 525162785 666350333
H 136641600 262391875
H 331374894 458842056
H 370704110 996476660
H 1798542 118069486
H 404223137 1041263853
H 672306336 741050008
H 221137238 652641733
H 550322964 568143684
H 481227444 1158593436
H 210051985 606418705
H 205781440 237074788
H 63303722 129987376
H 675683700 775393936
H 656546037 1028731467
H 847191148 926306016
Q 929263584 1552768386
Q 25766622 57982190
H 408210750 1192661599
H 31052873 583665215
Q 101240986 341472110
H 272404296 343725000
H 78313404 145922700
Q 403641551 1164779435
Q 254614276 635842686
Q 898571256 1033613549
H 633721858 637604802
Q 222829533 544728979
Q 421296100 1051282755
H 36334950 151629535
Q 32178012 70481717
H 58280678 228934668
H 176926860 408169686
Q 476238735 621107469
H 710422920 833633894
H 85773435 446720035
Q 309770700 1115300300
Q 564693284 933667244
H 694201530 1140086070
H 31620895 233846503
H 31761648 269364039
H 341194100 432795477
Q 618304869 863070127
H 510706152 1244272637
Q 577770114 1277513898
Q 261152691 598312003
H 141653576 745260560
Q 1041390 247212224
Q 7445570 62308139
H 237055815 244631831
H 151036640 295995357
Q 83269932 190587772
H 148871877 258297876
H 581214088 668373960
H 210939150 311320500
H 638550960 674898225
H 59088447 60171352
H 153280620 363322508
H 633616128 1336382452
H 258312926 571677376
H 36607636 43992476
Q 473935632 495004551
Q 224327300 319252790
H 330712119 1000291575
H 398185473 401577857
H 35162939 274753292
H 872135990 985185335
Q 187490208 391633041
Q 155436652 198807724
Q 38730990 298494130
Q 96368272 125993128
Q 69062472 271088984
H 328248248 633333488
Q 230465923 465136707
H 181458432 448810384
Q 108082725 176332461
Q 344740455 381303960
H 857721900 987603105
H 644726325 689721145
H 363204730 384669730
Q 92189934 584933454
H 66113952 168570852
H 7606438 122158782
H 45025757 573285290
Q 15327950 143160291
H 510823510 544360102
Q 277917618 283939018
H 577072704 809036640
H 91881348 248797248
Q 56846664 83790564
H 212391172 503395270
H 675356184 1058393176
Q 55474785 497883591
H 619974530 989045801
Q 501674160 538234970
Q 246273920 248316578
Q 592669818 593869268
H 7196700 251694780
H 1008540 642750030
H 669086938 874451547
H 155272984 175593856
Q 535083465 929775425
Q 232330705 267388205
H 123083388 392699034
Q 569417424 609188748
H 95714541 711692554
Q 44947045 920549988
H 276817527 316095543
Q 305435890 378529720
Q 117386448 462422388
H 589551960 934850200
H 36671765 130694421
Q 48990138 244195878
H 52486350 129987993
H 352998457 491089408
H 487475799 518263314
H 212035860 225410130
Q 86941592 488794098
H 54654650 248256816
H 165759440 269245277
H 199677864 913305585
H 564208452 761374683
Q 795551104 1303233238
H 98591600 298601360
Q 621928757 816734279
H 719471352 929317560
Q 503584942 1366459555
Q 552054960 913627577
H 135845460 157866462
H 323234704 672601156
H 181042355 501080060
H 730735915 744450835
H 139302358 328950886
H 141342320 207211420
H 7873190 252988266
Q 1397682 802078962
H 442389345 566047026
H 741179063 1488209375
H 210809990 400688390
Q 391395216 843547268
Q 98918379 256645164
H 701351126 1041489358
Q 583928192 701856914
Q 128976075 193633075
H 134820000 1058513391
H 20526415 679574581
H 90471528 310397838
H 2934666 8006448
Q 77687325 174594515
Q 24966025 339169269
H 319409090 392955815
H 38044300 218450280
H 215596050 430208792
Q 81336392 263574791
H 316007538 748244486
H 467446580 629400876
H 206412360 622277168
H 747838195 879202747
Q 240461202 334895826
H 30920160 562668990
Q 270402495 452804607
H 904585836 1049687168
H 552343150 577974155
H 150127011 347501001
Q 670663692 767624283
H 5243350 27057461
Q 7303464 109563786
Q 188904674 200262176
H 555444180 595990890
H 672365736 831058956
H 17398800 108450096
Q 14350400 17310430
H 678201814 1002027861
H 104920848 328367596
Q 468835848 639436824
H 600696700 992426870
H 867414472 1219684071
H 193692377 225627669
H 244733450 336869224
H 218871594 1101568794
H 476702746 692886562
Q 462212084 543252492
H 111699808 315411624
H 109316430 114762273
Q 234878287 862283687
H 81615215 139406467
H 278810295 392425841
H 68890932 285368312
H 26300230 140051758
Q 393500916 682366973
Q 310752824 330396754
H 131044782 190180866
H 15834452 134292064
H 622555272 1109201982
H 312598992 684944592
H 151655860 340076309
H 69431364 353468775
H 679052216 854357143
H 92777580 228330250
Q 330634812 760721862
H 100777950 319145366
H 574130700 1129776984
Q 251939610 678298158
H 202461386 215781875
Q 80011520 323660954
H 745679704 852792409
Q 744028857 906212481
Q 428312921 749285209
